trade_date,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
20100104,399300.SZ,20100104,3535.229,3592.468,3597.748,3535.229,3575.684,-40.455,-1.1314,66101080.0,93419838.921
20100105,399300.SZ,20100105,3564.038,3545.186,3577.526,3497.661,3535.229,28.809,0.8149,85809641.0,128302442.618
20100106,399300.SZ,20100106,3541.727,3558.7,3588.832,3541.173,3564.038,-22.311,-0.626,78473125.0,121045989.916
20100107,399300.SZ,20100107,3471.456,3543.16,3558.556,3452.769,3541.727,-70.271,-1.9841,80350037.0,120436166.283
20100108,399300.SZ,20100108,3480.13,3456.908,3482.083,3426.698,3471.456,8.674,0.2499,60790253.0,90190959.969
20100111,399300.SZ,20100111,3482.052,3593.106,3594.528,3465.317,3480.13,1.922,0.0552,89980172.0,134114001.104
20100112,399300.SZ,20100112,3534.916,3477.842,3535.407,3437.661,3482.052,52.864,1.5182,93743278.0,134071416.354
20100113,399300.SZ,20100113,3421.144,3448.291,3490.112,3415.693,3534.916,-113.772,-3.2185,112457901.0,159860384.574
20100114,399300.SZ,20100114,3469.051,3433.472,3470.323,3411.812,3421.144,47.907,1.4003,83353252.0,118107870.086
20100115,399300.SZ,20100115,3482.738,3472.524,3500.072,3448.661,3469.051,13.687,0.3945,72543102.0,104035175.785
20100118,399300.SZ,20100118,3500.684,3471.777,3501.26,3458.042,3482.738,17.946,0.5153,82854307.0,117884258.544
20100119,399300.SZ,20100119,3507.482,3506.806,3528.39,3497.094,3500.684,6.798,0.1942,74883232.0,108023525.533
20100120,399300.SZ,20100120,3394.434,3512.246,3515.449,3387.818,3507.482,-113.048,-3.2231,92495146.0,128416164.613
20100121,399300.SZ,20100121,3408.574,3397.043,3425.18,3364.723,3394.434,14.14,0.4166,70595068.0,100076607.006
20100122,399300.SZ,20100122,3366.197,3364.452,3390.796,3293.194,3408.574,-42.377,-1.2432,88933404.0,119197815.814
20100125,399300.SZ,20100125,3328.014,3340.013,3372.426,3326.266,3366.197,-38.183,-1.1343,56849171.0,76626626.843
20100126,399300.SZ,20100126,3242.797,3328.113,3341.198,3222.14,3325.691,-82.894,-2.4925,61752231.0,81586059.213
20100127,399300.SZ,20100127,3198.566,3243.038,3255.116,3183.365,3242.797,-44.231,-1.364,52691394.0,70540273.182
20100128,399300.SZ,20100128,3206.57,3195.289,3220.306,3168.463,3198.566,8.004,0.2502,46990716.0,64082115.658
20100129,399300.SZ,20100129,3204.155,3190.315,3249.455,3176.916,3206.57,-2.415,-0.0753,50262613.0,68018118.702
20100201,399300.SZ,20100201,3152.707,3198.23,3198.311,3116.439,3204.155,-51.448,-1.6057,57001380.0,75982150.475
20100202,399300.SZ,20100202,3146.189,3170.778,3211.941,3143.085,3152.707,-6.518,-0.2067,50130033.0,68318412.373
20100203,399300.SZ,20100203,3230.715,3160.712,3231.102,3094.568,3146.189,84.526,2.6866,64798894.0,87536249.983
20100204,399300.SZ,20100204,3218.802,3206.431,3242.519,3190.437,3230.715,-11.913,-0.3687,58972726.0,75466552.963
20100205,399300.SZ,20100205,3153.087,3147.721,3177.42,3129.921,3218.802,-65.715,-2.0416,59105845.0,73693132.366
20100208,399300.SZ,20100208,3150.988,3152.253,3172.306,3133.808,3153.087,-2.099,-0.0666,37355951.0,47902429.25
20100209,399300.SZ,20100209,3169.19,3147.761,3178.947,3144.478,3150.988,18.202,0.5777,35953158.0,45222660.374
20100210,399300.SZ,20100210,3214.13,3195.142,3214.456,3182.834,3169.19,44.94,1.418,34219894.0,48152144.637
20100211,399300.SZ,20100211,3220.398,3216.688,3238.349,3207.165,3214.13,6.268,0.195,35791052.0,46999712.971
20100212,399300.SZ,20100212,3251.278,3232.879,3253.196,3228.738,3220.398,30.88,0.9589,34058238.0,46703220.577
20100222,399300.SZ,20100222,3233.345,3248.947,3261.949,3232.784,3251.278,-17.933,-0.5516,38283772.0,49981333.658
20100223,399300.SZ,20100223,3198.634,3225.393,3225.393,3152.934,3233.345,-34.711,-1.0735,42742898.0,62386076.936
20100224,399300.SZ,20100224,3244.483,3177.082,3244.816,3165.133,3198.634,45.849,1.4334,49989437.0,64414097.361
20100225,399300.SZ,20100225,3292.128,3252.153,3294.144,3249.329,3244.483,47.645,1.4685,67586617.0,89485801.632
20100226,399300.SZ,20100226,3281.666,3286.095,3301.149,3273.693,3292.128,-10.462,-0.3178,52107288.0,70171666.128
20100301,399300.SZ,20100301,3324.423,3290.007,3330.378,3287.556,3281.666,42.757,1.3029,60504520.0,81205689.009
20100302,399300.SZ,20100302,3311.236,3327.103,3339.894,3299.685,3324.423,-13.187,-0.3967,57034374.0,76233992.315
20100303,399300.SZ,20100303,3335.081,3313.023,3335.654,3293.916,3311.236,23.845,0.7201,60622732.0,78442132.954
20100304,399300.SZ,20100304,3250.573,3338.674,3345.909,3244.978,3335.081,-84.508,-2.5339,69346810.0,89462913.752
20100305,399300.SZ,20100305,3259.764,3253.164,3276.403,3239.677,3250.573,9.191,0.2828,45629138.0,59621178.434
20100308,399300.SZ,20100308,3286.178,3268.397,3293.93,3258.034,3259.764,26.414,0.8103,41540876.0,54686555.117
20100309,399300.SZ,20100309,3305.863,3285.62,3322.506,3255.982,3286.178,19.685,0.599,54199486.0,71971297.725
20100310,399300.SZ,20100310,3279.694,3304.036,3321.081,3267.761,3305.863,-26.169,-0.7916,46421079.0,61760429.281
20100311,399300.SZ,20100311,3276.705,3282.199,3303.488,3251.704,3279.694,-2.989,-0.0911,47487754.0,63732658.851
20100312,399300.SZ,20100312,3233.126,3277.309,3284.263,3232.117,3276.705,-43.579,-1.33,39957344.0,52611210.82
